dimension_index,raw_activation,standardized_activation,absolute_standardized_activation
190,0.0073242188,-0.35283762,0.35283762
191,-0.03955078,-1.0989858,1.0989858
192,0.075683594,0.935737,0.935737
193,-0.08251953,-0.9985841,0.9985841
194,-0.083984375,-0.96145934,0.96145934
195,-0.03491211,-0.37296522,0.37296522
196,0.12695312,0.42198718,0.42198718
197,0.14746094,1.6671673,1.6671673
198,0.16992188,1.2593896,1.2593896
199,-0.08300781,-0.46817687,0.46817687
200,-0.056396484,-1.1638576,1.1638576
201,0.0044555664,-0.25026256,0.25026256
202,0.025878906,0.23696063,0.23696063
203,-0.052490234,0.4175068,0.4175068
204,0.014282227,0.34177515,0.34177515
205,-0.05908203,-0.8935837,0.8935837
206,-0.020751953,-0.010181626,0.010181626
207,0.064941406,0.25171068,0.25171068
208,0.021362305,0.5905165,0.5905165
209,0.031982422,0.8846109,0.8846109
210,0.061035156,0.2575562,0.2575562
211,-0.07861328,-0.17697442,0.17697442
212,-0.036865234,0.28466594,0.28466594
213,-1.0,-1.4471456,1.4471456
214,-0.15527344,-1.1313419,1.1313419
215,0.006286621,0.5622241,0.5622241
216,0.115234375,2.0430925,2.0430925
217,0.009033203,1.5488061,1.5488061
218,0.040039062,0.80780643,0.80780643
219,0.03955078,0.5911796,0.5911796
220,0.020019531,-0.35381868,0.35381868
221,-0.20800781,-2.4340413,2.4340413
222,-0.029541016,-0.04038389,0.04038389
223,0.052246094,0.17362292,0.17362292
224,-0.106933594,-1.0524377,1.0524377
225,0.029174805,1.3013245,1.3013245
226,0.087890625,0.9060181,0.9060181
227,-0.009765625,0.24987319,0.24987319
228,0.171875,2.4038322,2.4038322
229,-0.12890625,-1.8041855,1.8041855
230,0.049072266,1.6014444,1.6014444
231,0.110839844,1.0543022,1.0543022
232,0.42578125,0.46399978,0.46399978
233,-0.026367188,-0.63830274,0.63830274
234,-0.06640625,-0.8148202,0.8148202
235,-0.0625,0.024316454,0.024316454
236,-0.036132812,-0.8471205,0.8471205
237,0.037353516,0.9339339,0.9339339
238,0.01953125,0.18500376,0.18500376
239,0.14355469,1.2223533,1.2223533
240,0.026855469,1.0212466,1.0212466
241,-0.1484375,-1.7005997,1.7005997
242,0.017822266,-0.18944071,0.18944071
243,0.030517578,0.51797557,0.51797557
244,-0.0546875,-1.1175361,1.1175361
245,-0.06933594,-1.248375,1.248375
246,-0.078125,-1.4325355,1.4325355
247,0.04272461,0.81359875,0.81359875
248,-0.059814453,-0.62516254,0.62516254
249,-0.2109375,-2.2540982,2.2540982
250,-0.060302734,-1.4523151,1.4523151
251,0.08251953,0.8690541,0.8690541
252,0.057617188,-0.010891667,0.010891667
253,0.07128906,1.0338072,1.0338072
254,0.05859375,0.14970198,0.14970198
255,-0.071777344,-1.067486,1.067486
256,-0.10449219,-1.4270337,1.4270337
257,0.05493164,2.1917005,2.1917005
258,-0.091796875,-1.6441901,1.6441901
259,-0.015563965,-0.519213,0.519213
260,-0.080566406,-1.1198713,1.1198713
261,-0.13476562,-1.4511055,1.4511055
262,-0.1875,-2.209531,2.209531
263,-0.07324219,0.24950047,0.24950047
264,-0.095703125,-0.2574393,0.2574393
265,0.09863281,1.042635,1.042635
266,0.110839844,1.7719146,1.7719146
267,-0.08984375,0.81771797,0.81771797
268,0.08251953,0.6105439,0.6105439
269,0.07763672,0.8546072,0.8546072
270,-0.038085938,0.11937253,0.11937253
271,-0.0154418945,0.48009244,0.48009244
272,0.06542969,0.31828535,0.31828535
273,-0.08203125,-1.4498076,1.4498076
274,-0.13378906,-1.8647172,1.8647172
275,-0.057617188,0.29828227,0.29828227
276,-0.0009765625,0.087161615,0.087161615
277,-0.0005493164,-0.30639067,0.30639067
278,-0.029052734,-1.0804745,1.0804745
279,0.0018310547,0.34363136,0.34363136
280,-0.06933594,-1.4760207,1.4760207
281,0.020263672,-0.2869675,0.2869675
282,0.079589844,0.9923399,0.9923399
283,-0.033691406,-0.36991104,0.36991104
284,0.022094727,0.5254139,0.5254139
285,0.059570312,1.3006427,1.3006427
286,0.009765625,0.5326201,0.5326201
287,0.095703125,1.252234,1.252234
288,-0.019042969,-0.7335224,0.7335224
289,-0.005859375,-0.23540697,0.23540697
290,-0.040771484,0.15719207,0.15719207
291,-0.056884766,-0.7121344,0.7121344
292,-0.18554688,-0.6075796,0.6075796
293,0.0859375,1.1495547,1.1495547
294,-0.0034179688,-0.01959929,0.01959929
295,0.0126953125,0.36718673,0.36718673
296,-0.007385254,-0.515201,0.515201
297,0.020385742,-0.51777464,0.51777464
298,-0.0056152344,-0.26837453,0.26837453
