dimension_index,raw_activation,standardized_activation,absolute_standardized_activation
211,0.05029297,1.0089251,1.0089251
212,0.10839844,0.88812226,0.88812226
213,-0.0029907227,-0.11416036,0.11416036
214,0.07128906,1.6266606,1.6266606
215,0.002166748,0.35103306,0.35103306
216,0.091308594,1.6924644,1.6924644
217,-0.07763672,-1.4130138,1.4130138
218,-0.092285156,-1.6376,1.6376
219,0.20117188,2.55949,2.55949
220,0.0037078857,-0.26029542,0.26029542
221,-0.008178711,0.27077106,0.27077106
222,-0.087402344,-0.55675846,0.55675846
223,0.016113281,1.4077859,1.4077859
224,-0.0039978027,0.099992655,0.099992655
225,0.15234375,2.287221,2.287221
226,-0.0018386841,0.6702391,0.6702391
227,-0.043945312,-0.68093324,0.68093324
228,-0.0024261475,0.14035718,0.14035718
229,0.0055236816,0.23730475,0.23730475
230,0.12597656,1.0519001,1.0519001
231,0.015625,0.62032557,0.62032557
232,-0.07373047,-1.2879035,1.2879035
233,0.13769531,1.9409038,1.9409038
234,-0.0099487305,0.18861286,0.18861286
235,-0.022949219,-0.36560628,0.36560628
236,-0.061279297,-0.8788746,0.8788746
237,-0.0008773804,-0.1760957,0.1760957
238,0.0048828125,0.5022417,0.5022417
239,0.075683594,1.2982801,1.2982801
240,0.13378906,0.35543355,0.35543355
241,0.025268555,0.6195505,0.6195505
242,-0.009033203,-0.5294335,0.5294335
243,0.0074157715,0.47263494,0.47263494
244,-0.016601562,-0.12909414,0.12909414
245,-0.2578125,-2.9980536,2.9980536
246,-0.012512207,-0.15722503,0.15722503
247,0.0020751953,-0.20680606,0.20680606
248,-0.045410156,-0.7695663,0.7695663
249,0.00088882446,-0.027283592,0.027283592
250,0.03125,-0.02630494,0.02630494
251,0.071777344,1.5764432,1.5764432
252,-0.021972656,-0.44408995,0.44408995
253,0.02368164,0.2699639,0.2699639
254,-0.014709473,-0.3646259,0.3646259
255,0.032226562,0.30843613,0.30843613
256,0.02722168,0.42926514,0.42926514
257,0.0033569336,0.44552982,0.44552982
258,-0.030517578,-0.82207423,0.82207423
259,-0.00045585632,-0.42020702,0.42020702
260,-0.049804688,-0.53123593,0.53123593
261,-0.020385742,-0.19306704,0.19306704
262,0.021362305,0.4560542,0.4560542
263,-0.024169922,-0.8508326,0.8508326
264,-0.0053710938,-0.14338453,0.14338453
265,0.0012969971,-0.015836205,0.015836205
266,-0.08691406,-1.6960001,1.6960001
267,0.14355469,1.3636823,1.3636823
268,0.03491211,0.24201167,0.24201167
269,0.040771484,0.8448977,0.8448977
270,0.12158203,1.8259478,1.8259478
271,-0.010925293,0.019520031,0.019520031
272,-0.029907227,0.0019024035,0.0019024035
273,-0.021484375,0.04936584,0.04936584
274,-0.07080078,-0.5472046,0.5472046
275,0.103515625,1.2716876,1.2716876
276,0.0119018555,0.20676333,0.20676333
277,-0.014831543,-0.062021606,0.062021606
278,-0.10058594,-0.78238314,0.78238314
279,0.017089844,1.0592755,1.0592755
280,-0.036376953,-0.10699606,0.10699606
281,0.12451172,1.5089122,1.5089122
282,-0.10888672,-1.2340727,1.2340727
283,-0.15136719,-2.7377977,2.7377977
284,-0.053955078,-0.3859712,0.3859712
285,-0.037353516,-0.75577635,0.75577635
286,-0.039794922,-0.7443203,0.7443203
287,0.12597656,0.95113647,0.95113647
288,0.09277344,1.4371068,1.4371068
289,-0.028686523,-0.440574,0.440574
290,-0.011962891,-0.04176081,0.04176081
291,-0.03466797,0.21852878,0.21852878
292,0.036865234,0.27454758,0.27454758
293,-0.0071411133,-0.3515555,0.3515555
294,-0.063964844,-1.0521314,1.0521314
295,-0.00090789795,0.17260037,0.17260037
296,0.0024261475,0.5234642,0.5234642
297,0.030639648,-0.43082103,0.43082103
298,-0.021484375,-0.16090871,0.16090871
299,-0.013793945,0.07703349,0.07703349
300,0.021850586,0.8444589,0.8444589
301,-0.01361084,-0.61591315,0.61591315
302,-0.004547119,-0.46089184,0.46089184
303,0.2578125,3.663143,3.663143
304,-0.01159668,-0.37928092,0.37928092
305,-0.578125,-4.5422225,4.5422225
306,-0.0546875,-1.0532197,1.0532197
307,-0.00491333,1.7001024,1.7001024
308,-0.034179688,0.3000632,0.3000632
309,0.008239746,0.063843414,0.063843414
310,-0.004638672,-0.09800614,0.09800614
311,0.064941406,0.5743566,0.5743566
312,-0.024414062,0.23501189,0.23501189
313,0.11328125,1.8614466,1.8614466
314,-0.0013885498,-0.3879964,0.3879964
315,-0.07128906,-1.4416615,1.4416615
316,0.107421875,1.0231419,1.0231419
317,-0.042236328,-0.75737315,0.75737315
318,-0.078125,-0.2983593,0.2983593
319,-0.12060547,-1.4698305,1.4698305
320,-0.14550781,-1.940796,1.940796
321,-0.016601562,0.23660883,0.23660883
322,0.003540039,0.18299901,0.18299901
323,0.20703125,1.5499781,1.5499781
324,0.06298828,0.7035657,0.7035657
325,0.03125,0.5073888,0.5073888
326,0.083984375,2.092409,2.092409
327,0.0058288574,0.12242295,0.12242295
328,0.021728516,0.63710755,0.63710755
329,0.012512207,0.27883506,0.27883506
330,0.05053711,0.5584823,0.5584823
331,-0.17675781,-2.2393174,2.2393174
332,-0.033935547,-0.5467621,0.5467621
333,0.048095703,-0.48871294,0.48871294
334,-0.051757812,-0.4190865,0.4190865
335,-0.017578125,0.5327797,0.5327797
336,-0.007507324,-0.23604812,0.23604812
337,-0.0007286072,-0.35325167,0.35325167
338,0.043945312,0.27132395,0.27132395
339,0.011962891,-0.09311613,0.09311613
340,-0.08300781,-1.3976679,1.3976679
341,0.05834961,0.3327872,0.3327872
342,0.16308594,0.70000154,0.70000154
343,0.008544922,-0.250528,0.250528
344,0.07763672,1.0130992,1.0130992
345,0.049804688,1.1363198,1.1363198
346,-0.017211914,-0.20900801,0.20900801
347,-0.02368164,-0.647259,0.647259
348,-0.018188477,0.53463566,0.53463566
349,-0.023071289,-0.3153904,0.3153904
350,-0.07714844,-0.98652464,0.98652464
351,-0.092285156,-2.3401842,2.3401842
352,-0.083496094,-0.7764918,0.7764918
353,0.111328125,1.4576228,1.4576228
354,-0.10205078,-1.4151332,1.4151332
355,0.0625,0.27653965,0.27653965
356,-0.007873535,-0.62401885,0.62401885
357,-0.056640625,-1.2775509,1.2775509
358,0.004180908,0.10269756,0.10269756
359,0.014404297,0.17668349,0.17668349
360,0.91796875,7.3305273,7.3305273
361,0.027709961,-0.41858843,0.41858843
362,-0.63671875,-3.6632895,3.6632895
363,0.0045776367,-0.50330615,0.50330615
364,0.032958984,0.29754984,0.29754984
365,-0.052490234,-0.37371683,0.37371683
366,-0.110839844,-1.1011479,1.1011479
367,0.0016098022,0.11001779,0.11001779
368,0.030151367,0.43081123,0.43081123
369,0.10986328,1.4363377,1.4363377
370,-0.052001953,0.047003217,0.047003217
371,0.017944336,0.33572826,0.33572826
372,-0.01965332,-0.083644524,0.083644524
373,-0.014465332,-0.30042616,0.30042616
374,0.22363281,1.9025384,1.9025384
375,0.0859375,1.1060723,1.1060723
376,0.014770508,-0.4159207,0.4159207
377,0.052490234,0.881773,0.881773
378,0.0050964355,-0.4958511,0.4958511
379,-0.061523438,-1.0195764,1.0195764
380,0.22949219,2.755363,2.755363
381,0.002532959,0.13819833,0.13819833
382,-0.044677734,-0.80836326,0.80836326
383,0.0059509277,-0.04487615,0.04487615
384,-0.0020446777,-0.18493797,0.18493797
385,-0.06933594,-0.61277133,0.61277133
386,-0.12451172,-2.0835,2.0835
387,-0.13183594,-2.2524304,2.2524304
388,0.0076904297,0.39265305,0.39265305
389,0.08886719,0.9462393,0.9462393
390,-0.004486084,0.5252162,0.5252162
391,-0.036865234,0.085913196,0.085913196
392,0.01928711,0.41058633,0.41058633
393,-0.045654297,-0.51936406,0.51936406
394,-0.009094238,0.07827957,0.07827957
395,0.0017623901,-0.16132559,0.16132559
396,0.017578125,0.8035738,0.8035738
397,0.041015625,0.6065541,0.6065541
398,-0.020507812,-0.41058138,0.41058138
399,0.013977051,0.596173,0.596173
400,0.010009766,0.07623695,0.07623695
401,-0.017822266,-0.085483894,0.085483894
402,-0.024414062,0.016658323,0.016658323
403,0.034179688,0.2632105,0.2632105
404,-0.020141602,0.050622843,0.050622843
405,-0.052001953,-1.2634956,1.2634956
406,0.0074768066,1.6860992,1.6860992
407,-0.15625,-2.4621866,2.4621866
408,0.140625,1.8795719,1.8795719
409,0.0020141602,0.3764315,0.3764315
410,-0.00028038025,-1.087284,1.087284
411,0.002029419,-0.3307977,0.3307977
412,-0.032714844,-0.3994646,0.3994646
413,0.03112793,0.12838398,0.12838398
414,0.07128906,0.8567881,0.8567881
415,-0.12890625,-1.7990276,1.7990276
416,0.017333984,0.1589246,0.1589246
417,-0.010681152,-0.14682902,0.14682902
418,0.043701172,0.53210574,0.53210574
419,0.024902344,0.41686425,0.41686425
420,0.25976562,3.4211495,3.4211495
421,0.008239746,0.13477689,0.13477689
422,0.053955078,1.0387259,1.0387259
423,0.047851562,0.44770783,0.44770783
424,-0.05444336,-1.1957681,1.1957681
425,0.00065231323,0.15423769,0.15423769
426,-0.087402344,-1.7135965,1.7135965
427,-0.026123047,-0.5796231,0.5796231
428,-0.060058594,-0.7965893,0.7965893
429,-0.01928711,-0.76878774,0.76878774
430,-0.09277344,-1.4648315,1.4648315
431,-0.171875,-1.5684612,1.5684612
432,0.091308594,0.98547894,0.98547894
433,0.045166016,0.41505137,0.41505137
434,0.0041503906,0.15232368,0.15232368
435,8.702278e-06,-0.22396208,0.22396208
436,-0.033203125,-0.76288813,0.76288813
437,0.02758789,0.3706189,0.3706189
438,0.095703125,0.444827,0.444827
439,-0.09277344,-1.7375457,1.7375457
440,0.109375,-0.05786565,0.05786565
441,0.15917969,1.4010366,1.4010366
442,0.014038086,0.16777256,0.16777256
443,-0.0012893677,0.51107854,0.51107854
444,-0.0134887695,0.025062902,0.025062902
445,0.20996094,3.3981113,3.3981113
446,0.022583008,0.63493925,0.63493925
447,-0.016357422,-0.14118226,0.14118226
448,0.087890625,1.6099068,1.6099068
449,0.07763672,-0.35144368,0.35144368
450,0.15722656,2.3714452,2.3714452
451,-0.007507324,-0.43244907,0.43244907
452,-0.022583008,-0.49460328,0.49460328
453,0.09716797,2.0099185,2.0099185
454,-0.016967773,-0.24542838,0.24542838
455,-0.025878906,-0.8581965,0.8581965
456,-0.15234375,-2.1305604,2.1305604
457,0.0012054443,-0.44377276,0.44377276
458,0.14941406,0.6997409,0.6997409
459,0.030517578,0.1961634,0.1961634
460,0.140625,0.4763705,0.4763705
461,0.068847656,1.4859952,1.4859952
462,-0.087402344,-0.27877375,0.27877375
463,0.055908203,0.07732248,0.07732248
464,0.017578125,0.42798802,0.42798802
465,-0.14160156,-1.0557795,1.0557795
466,0.00016021729,0.9480169,0.9480169
467,-0.038085938,-0.373377,0.373377
468,0.060302734,-0.20159379,0.20159379
469,0.07324219,0.9215561,0.9215561
470,0.11328125,2.1865194,2.1865194
471,0.057861328,0.63878864,0.63878864
472,-0.0072021484,0.07221792,0.07221792
473,0.099121094,0.8439833,0.8439833
474,-0.111816406,-2.337739,2.337739
475,-0.18261719,-0.17329794,0.17329794
476,0.025390625,0.7414627,0.7414627
477,-0.0546875,-0.27138856,0.27138856
478,0.123046875,1.5749685,1.5749685
479,-0.021606445,-0.058440953,0.058440953
480,0.060791016,0.28092545,0.28092545
481,-0.0625,-0.0924126,0.0924126
482,-0.06982422,-1.2790272,1.2790272
483,-0.040527344,-0.531051,0.531051
484,-0.033935547,-0.23676673,0.23676673
485,0.119628906,2.4464042,2.4464042
486,-0.004119873,-0.11621476,0.11621476
487,0.015197754,0.24048626,0.24048626
488,0.040527344,0.6043425,0.6043425
489,-0.21191406,-1.6957814,1.6957814
490,0.16894531,1.743702,1.743702
491,-0.014587402,-0.0042139664,0.0042139664
492,-0.05102539,-0.7857805,0.7857805
493,0.13476562,1.2684551,1.2684551
494,0.22949219,3.423901,3.423901
495,0.042236328,-0.1274527,0.1274527
496,-0.09667969,-0.17575544,0.17575544
497,-0.0077209473,0.6145635,0.6145635
498,-0.040771484,-0.35355195,0.35355195
499,-0.020629883,-0.5221821,0.5221821
500,-0.046875,-1.2902792,1.2902792
501,-0.026977539,-0.9997349,0.9997349
502,-0.020141602,-0.31191048,0.31191048
503,0.024047852,0.48247105,0.48247105
504,0.010131836,-0.33371755,0.33371755
505,0.068847656,0.44860217,0.44860217
506,-0.087402344,-1.2149942,1.2149942
507,0.044433594,0.60858464,0.60858464
508,-0.016723633,-0.36164403,0.36164403
509,0.0022125244,-0.199158,0.199158
510,-0.10546875,-1.8148154,1.8148154
511,0.010803223,-0.624087,0.624087
512,0.043945312,1.5586563,1.5586563
513,-0.024047852,-0.18757394,0.18757394
514,0.06933594,2.0937598,2.0937598
515,-0.055664062,-1.618103,1.618103
516,0.013122559,-0.2826161,0.2826161
517,-0.4453125,-6.4318595,6.4318595
518,0.008178711,0.20671538,0.20671538
519,0.033935547,0.5723647,0.5723647
520,0.0040893555,-0.17469302,0.17469302
521,0.076171875,2.0824578,2.0824578
522,-0.03857422,-0.9581038,0.9581038
523,-0.013244629,-0.26756102,0.26756102
524,0.107910156,1.9050922,1.9050922
525,-0.07080078,-0.50704426,0.50704426
526,-0.0030059814,-0.3794603,0.3794603
527,-0.019165039,-0.6075948,0.6075948
528,0.040527344,0.56647205,0.56647205
529,0.103515625,0.89562446,0.89562446
530,-0.039794922,-0.83920103,0.83920103
531,-0.10595703,-2.2225199,2.2225199
532,-0.056640625,-1.2183733,1.2183733
533,0.022949219,0.39190558,0.39190558
534,-0.072265625,0.50051004,0.50051004
535,0.041503906,1.0794754,1.0794754
536,-0.03173828,-0.37120777,0.37120777
537,-0.014343262,-0.49767467,0.49767467
538,0.09863281,0.7304348,0.7304348
539,0.028442383,0.052712332,0.052712332
540,-0.037353516,-0.19913135,0.19913135
541,0.096191406,1.1659467,1.1659467
542,-0.0107421875,0.3342552,0.3342552
543,-0.27539062,-6.142806,6.142806
544,0.18945312,3.0539765,3.0539765
545,-0.13476562,-1.1028235,1.1028235
546,-0.010253906,-0.26796082,0.26796082
547,0.17675781,2.320349,2.320349
548,0.13378906,2.0348756,2.0348756
549,-0.00680542,-0.658183,0.658183
550,-0.029052734,-0.35414037,0.35414037
551,0.001914978,0.11119582,0.11119582
552,0.0012588501,-0.46402442,0.46402442
553,0.20019531,4.3845744,4.3845744
554,-0.140625,-1.1274105,1.1274105
555,-0.014099121,0.78916055,0.78916055
556,0.061035156,1.3278441,1.3278441
557,0.072753906,0.0028107793,0.0028107793
558,0.004638672,-0.016508108,0.016508108
559,0.015197754,0.15728332,0.15728332
560,-0.0053100586,-0.030964242,0.030964242
561,-0.03466797,-0.76484513,0.76484513
562,0.20996094,3.2340152,3.2340152
563,-0.0034942627,0.66376185,0.66376185
564,-0.0004310608,0.0763486,0.0763486
565,0.008850098,-0.39648467,0.39648467
